0.00322485	1.39216
0.00629973	1.5098
0.00937462	1.72549
0.0124495	2
0.0155244	2.19608
0.0185993	2.33333
0.0216742	2.39216
0.024749	2.45098
0.0278239	2.54902
0.0308988	2.80392
0.0339737	3.01961
0.0370486	3.09804
0.0401235	3.21569
0.0431983	3.21569
0.0462732	3.21569
0.0493481	3.23529
0.0524671	3.29412
0.0555861	3.35294
0.0587051	3.33333
0.0618241	3.33333
0.0649431	3.29412
0.0680621	3.2549
0.0711811	3.2549
0.0743001	3.29412
0.077419	3.2549
0.080538	3.13725
0.083657	3.01961
0.086776	2.86275
0.089895	2.76471
0.093014	2.84314
0.096133	2.88235
0.099252	2.86275
0.102371	3.03922
0.10549	3.09804
0.108609	3.15686
0.111728	3.29412
0.114847	3.5098
0.117966	3.72549
0.121085	3.86275
0.124204	3.92157
0.127323	3.92157
0.130442	3.90196
0.133561	3.88235
0.13668	3.94118
0.139799	3.96078
0.142918	3.94118
0.146037	3.86275
0.149156	3.76471
0.152275	3.76471
0.155394	3.84314
0.158513	3.92157
0.161632	4.03922
0.164751	4.09804
0.16787	4.07843
0.170989	4.03922
0.174108	4
0.177227	4.13725
0.180346	4.23529
0.183465	4.27451
0.186584	4.23529
0.189703	4.23529
0.192822	4.31373
0.195941	4.29412
0.19906	4.21569
0.202179	4.01961
0.205298	3.76471
0.208417	3.56863
0.211536	3.41176
0.214655	3.37255
0.217774	3.41176
0.220893	3.35294
0.224012	3.21569
0.227131	3.03922
0.23025	2.76471
0.233369	2.58824
0.236488	2.58824
0.239607	2.56863
0.242726	2.5098
0.245845	2.4902
0.248964	2.5098
0.252083	2.60784
0.255202	2.66667
0.258321	2.70588
0.26144	2.68627
0.264559	2.58824
0.267678	2.45098
0.270797	2.41176
0.273916	2.45098
0.277035	2.54902
0.280154	2.4902
0.283273	2.4902
0.286391	2.52941
0.28951	2.54902
0.292629	2.64706
0.295748	2.78431
0.298867	2.82353
0.301986	2.76471
0.305105	2.70588
0.308224	2.58824
0.311343	2.68627
0.314462	2.82353
0.317581	2.78431
0.3207	2.70588
0.323819	2.35294
0.326938	2.21569
0.330057	2.03922
0.333176	1.92157
0.336295	1.7451
0.339414	1.4902
0.342533	1.11765
0.345652	0.745098
0.348771	0.392157
0.35189	0.235294
0.355009	0.137255
0.358128	0
0.361247	0
0.364366	0
0.367467	0
0.370567	0
0.373667	0
0.376768	0
0.379868	0
0.382969	0
0.386069	0
0.389169	0
0.39227	0
0.39537	0
0.398471	0
0.401571	0
0.404671	0
0.407772	0
0.410872	0
0.413973	0
0.417073	0
0.420173	0
0.423274	0.0196078
0.426374	0.0980392
0.429475	0.294118
0.432575	0.490196
0.435675	0.666667
0.438776	0.764706
0.441876	0.843137
0.444977	0.960784
0.448077	1.11765
0.451177	1.19608
0.454278	1.13725
0.457378	1.03922
0.460479	1
0.463579	1.11765
0.466679	1.19608
0.46978	1.31373
0.47288	1.41176
0.475981	1.45098
0.479081	1.52941
0.482181	1.56863
0.485282	1.60784
0.488382	1.70588
0.491482	1.78431
0.494583	1.82353
0.497683	1.72549
0.500784	1.64706
0.503884	1.64706
0.506984	1.68627
0.510085	1.7451
0.513185	1.84314
0.516286	1.86275
0.519386	1.84314
0.522486	1.76471
0.525587	1.72549
0.528687	1.84314
0.531788	1.98039
0.534888	2.07843
0.537988	2.17647
0.541089	2.21569
0.544189	2.31373
0.54729	2.43137
0.55039	2.56863
0.55349	2.56863
0.556591	2.52941
0.559691	2.47059
0.562792	2.4902
0.565892	2.54902
0.568992	2.86275
0.572093	3.13725
0.575193	3.41176
0.578294	3.7451
0.581394	4.37255
0.584494	4.98039
0.587595	5
0.590695	5
0.593796	5
0.596896	4.98039
0.599996	5
0.603097	5
0.606197	5
0.609298	5
0.612398	5
0.615498	4.98039
0.618599	5
0.621699	4.98039
0.624799	4.98039
0.6279	4.98039
0.631	4.98039
0.634101	4.98039
0.637201	4.98039
0.640301	4.98039
0.643402	4.98039
0.646502	4.7451
0.649603	4.41176
0.652703	4.19608
0.655803	3.92157
0.658904	3.64706
0.662004	3.41176
0.665105	3.29412
0.668205	3.27451
0.671305	3.03922
0.674406	2.94118
0.677506	2.82353
0.680607	2.62745
0.683683	2.47059
0.68676	2.33333
0.689836	2.39216
0.692913	2.41176
0.695989	2.37255
0.699066	2.29412
0.702142	2.29412
0.705219	2.47059
0.708296	2.35294
0.711372	2.33333
0.714449	2.47059
0.717525	2.35294
0.720602	2.09804
0.723678	1.82353
0.726755	1.7451
0.729831	1.76471
0.732908	1.72549
0.735985	1.58824
0.739061	1.35294
0.742138	1.13725
0.745214	0.960784
0.748291	0.901961
0.751367	0.921569
0.754444	1
0.75752	1.01961
0.760597	1.96078
0.763674	3.15686
0.76675	4.01961
0.769827	4.27451
0.772903	4.2549
0.77598	4.23529
0.779056	4.27451
0.782133	4.27451
0.785209	4.15686
0.788286	4.03922
0.791363	3.92157
0.794439	3.84314
0.797516	3.84314
0.800592	3.86275
0.803669	4.05882
0.806745	4.17647
0.809822	4.15686
0.812898	4
0.815975	3.88235
0.819052	3.76471
0.822128	3.66667
0.825205	3.7451
0.828281	3.88235
0.831358	3.98039
0.834434	4.03922
0.837511	4.03922
0.840587	3.96078
0.843664	4.17647
0.84674	4.45098
0.849817	4.52941
0.852894	4.60784
0.85597	4.54902
0.859047	4.37255
0.862123	4.21569
0.8652	4.09804
0.868276	3.94118
0.871353	3.72549
0.874429	3.47059
0.877506	3.27451
0.880583	3.15686
0.883659	3.11765
0.886736	3.07843
0.889812	3.01961
0.892889	3
